Unnamed: 0,Name,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
1.0,Matt Olson,10,162,608.0,127.0,172.0,27,3,54.0,139.0,104.0,167.0,1.0,0.0,0.283
2.0,Kyle Schwarber,11,160,585.0,108.0,115.0,19,1,47.0,104.0,126.0,215.0,0.0,2.0,0.197
3.0,Pete Alonso,7,154,568.0,92.0,123.0,21,2,46.0,118.0,65.0,151.0,4.0,1.0,0.217
4.0,Shohei Ohtani,8,135,497.0,102.0,151.0,26,8,44.0,95.0,91.0,143.0,20.0,6.0,0.304
5.0,Ronald Acuna Jr.,8,159,643.0,149.0,217.0,35,4,41.0,106.0,80.0,84.0,73.0,14.0,0.337
6.0,Marcell Ozuna,13,144,530.0,84.0,145.0,29,1,40.0,100.0,57.0,134.0,0.0,0.0,0.274
7.0,Mookie Betts,12,152,584.0,126.0,179.0,40,1,39.0,107.0,96.0,107.0,14.0,3.0,0.307
,Adolis Garcia,7,148,555.0,108.0,136.0,29,0,39.0,107.0,65.0,175.0,9.0,1.0,0.245
9.0,Luis Robert Jr.,6,145,546.0,90.0,144.0,36,1,38.0,80.0,30.0,172.0,20.0,4.0,0.264
10.0,Aaron Judge,10,106,367.0,79.0,98.0,16,0,37.0,75.0,88.0,130.0,3.0,1.0,0.267
,PLAYER,YRS,G,,,,2B,3B,,,,,,,
,Austin Riley,7,159,636.0,117.0,179.0,32,3,37.0,97.0,59.0,172.0,3.0,1.0,0.281
12.0,Jorge Soler,12,137,504.0,77.0,126.0,24,0,36.0,75.0,66.0,141.0,1.0,0.0,0.25
,Max Muncy,10,135,482.0,95.0,102.0,17,1,36.0,105.0,85.0,153.0,1.0,2.0,0.212
14.0,Juan Soto,8,162,568.0,97.0,156.0,32,1,35.0,109.0,132.0,129.0,12.0,5.0,0.275
15.0,Jake Burger,5,141,492.0,71.0,123.0,28,1,34.0,80.0,32.0,149.0,1.0,1.0,0.25
16.0,J.D. Martinez,14,113,432.0,61.0,117.0,27,2,33.0,103.0,34.0,149.0,1.0,0.0,0.271
,Corey Seager,11,119,477.0,88.0,156.0,42,0,33.0,96.0,49.0,88.0,2.0,1.0,0.327
,Christian Walker,11,157,582.0,86.0,150.0,36,2,33.0,103.0,62.0,127.0,11.0,0.0,0.258
,Ozzie Albies,9,148,596.0,96.0,167.0,30,5,33.0,109.0,46.0,107.0,13.0,1.0,0.28
,Rafael Devers,9,153,580.0,90.0,157.0,34,0,33.0,100.0,62.0,126.0,5.0,1.0,0.271
,PLAYER,YRS,G,,,,2B,3B,,,,,,,
21.0,Julio Rodriguez,4,155,654.0,102.0,180.0,37,2,32.0,103.0,47.0,175.0,37.0,10.0,0.275
22.0,Francisco Lindor,11,160,602.0,108.0,153.0,33,2,31.0,98.0,66.0,137.0,31.0,4.0,0.254
,Yordan Alvarez,7,114,410.0,77.0,120.0,24,1,31.0,97.0,69.0,92.0,0.0,0.0,0.293
,Isaac Paredes,6,143,492.0,71.0,123.0,24,0,31.0,98.0,58.0,104.0,1.0,0.0,0.25
,Spencer Torkelson,4,159,606.0,88.0,141.0,34,1,31.0,94.0,67.0,171.0,3.0,0.0,0.233
26.0,Manny Machado,14,138,543.0,75.0,140.0,21,0,30.0,91.0,50.0,109.0,3.0,2.0,0.258
,Brent Rooker,6,137,463.0,61.0,114.0,20,1,30.0,69.0,49.0,172.0,4.0,0.0,0.246
,Cal Raleigh,5,145,513.0,78.0,119.0,23,1,30.0,75.0,54.0,158.0,0.0,0.0,0.232
,Bobby Witt Jr.,4,158,641.0,97.0,177.0,28,11,30.0,96.0,40.0,121.0,49.0,15.0,0.276
30.0,Freddie Freeman,16,161,637.0,131.0,211.0,59,2,29.0,102.0,72.0,121.0,23.0,1.0,0.331
,PLAYER,YRS,G,,,,2B,3B,,,,,,,
,Nick Castellanos,13,157,626.0,79.0,170.0,37,2,29.0,106.0,36.0,185.0,11.0,2.0,0.272
,Marcus Semien,13,162,670.0,122.0,185.0,40,4,29.0,100.0,72.0,110.0,14.0,3.0,0.276
,Kyle Tucker,8,157,574.0,97.0,163.0,37,5,29.0,112.0,80.0,92.0,30.0,5.0,0.284
34.0,Anthony Santander,9,153,591.0,81.0,152.0,41,1,28.0,95.0,55.0,152.0,5.0,1.0,0.257
,Lane Thomas,7,156,628.0,101.0,168.0,36,3,28.0,86.0,36.0,176.0,20.0,5.0,0.268
,Gunnar Henderson,4,150,560.0,100.0,143.0,29,9,28.0,82.0,56.0,159.0,10.0,3.0,0.255
37.0,Nolan Gorman,4,119,406.0,59.0,96.0,17,0,27.0,76.0,53.0,148.0,7.0,2.0,0.236
38.0,Nolan Arenado,13,144,560.0,71.0,149.0,26,2,26.0,93.0,41.0,101.0,3.0,3.0,0.266
,Brandon Drury,10,125,485.0,61.0,127.0,30,3,26.0,83.0,25.0,136.0,0.0,2.0,0.262
,Teoscar Hernandez,10,160,625.0,70.0,161.0,29,2,26.0,93.0,38.0,211.0,7.0,2.0,0.258
,PLAYER,YRS,G,,,,2B,3B,,,,,,,
,Trea Turner,11,155,639.0,102.0,170.0,35,5,26.0,76.0,45.0,150.0,30.0,0.0,0.266
,Cody Bellinger,9,130,499.0,95.0,153.0,29,1,26.0,97.0,40.0,87.0,20.0,6.0,0.307
,Vladimir Guerrero Jr.,7,156,602.0,78.0,159.0,30,0,26.0,94.0,67.0,100.0,5.0,3.0,0.264
,Jack Suwinski,4,144,447.0,63.0,100.0,21,2,26.0,74.0,75.0,172.0,13.0,2.0,0.224
,Christopher Morel,4,107,388.0,62.0,96.0,17,3,26.0,70.0,36.0,133.0,6.0,2.0,0.247
46.0,Paul Goldschmidt,15,154,593.0,89.0,159.0,31,0,25.0,80.0,87.0,161.0,11.0,2.0,0.268
,Ketel Marte,11,150,569.0,94.0,157.0,26,9,25.0,82.0,71.0,109.0,8.0,2.0,0.276
,Gleyber Torres,8,158,596.0,90.0,163.0,28,2,25.0,68.0,67.0,98.0,13.0,6.0,0.273
,Jose Siri,5,101,338.0,58.0,75.0,13,2,25.0,56.0,20.0,130.0,12.0,3.0,0.222
,Alex Bregman,10,161,622.0,103.0,163.0,28,4,25.0,98.0,92.0,87.0,3.0,1.0,0.262
